Date,Close,High,Low,Open,Volume
,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
2020-01-01,1667.0853271484375,1689.6908373911626,1665.0438073481796,1681.9730805090164,1475056
2020-01-02,1664.595703125,1676.4959375135559,1657.7243856917241,1673.0104989740266,1852089
2020-01-03,1650.205810546875,1666.0396848227138,1638.7039358694624,1663.9981649760427,1594089
2020-01-06,1645.6746826171875,1650.5541991196524,1631.7826480784436,1650.2056795926826,1480087
2020-01-07,1663.898681640625,1667.7824806505566,1643.5338090957005,1654.1395258512007,2497931
2020-01-08,1647.96533203125,1654.5378498536143,1631.185457105509,1647.8159317611467,3125931
2020-01-09,1658.122802734375,1666.7865587763717,1651.7991239171354,1666.5375988721482,2668424
2020-01-10,1677.6910400390625,1684.9607182403788,1664.247204521187,1667.1351638708522,2536083
2020-01-13,1684.0643310546875,1697.4086060690406,1678.5374941865362,1684.9606110113327,1807958
2020-01-14,1669.823974609375,1689.0436069268496,1664.048056011402,1688.9440472742897,2136892
2020-01-15,1668.62890625,1679.5831424854903,1658.9693101945963,1668.9774258177285,2490245
2020-01-16,1694.470947265625,1698.5040247730383,1671.9151556502572,1671.9151556502572,3321282
2020-01-17,1691.03515625,1698.752912948286,1683.068439658221,1696.8110744040189,2295875
2020-01-20,1611.1690673828125,1701.8900393146528,1604.2977491725603,1701.8900393146528,8004034
2020-01-21,1618.3389892578125,1623.8161073272463,1578.6049629507022,1598.3226366256463,5745469
2020-01-22,1578.90380859375,1631.0858320045156,1569.4433316579943,1626.4053125830337,5479162
2020-01-23,1599.1690673828125,1601.7085070990072,1574.721277069597,1581.3933540568187,3495683
2020-01-24,1636.1146240234375,1642.139502235151,1580.3974469661518,1598.7706389817042,4252937
2020-01-27,1611.616943359375,1622.2226590894845,1601.7083882655447,1621.9238585935866,1874429
2020-01-28,1619.2850341796875,1631.1852688039176,1603.5507198360856,1613.2601559599184,1981104
2020-01-29,1633.6251220703125,1639.3512001168838,1616.2976092315243,1626.20616522626,2227493
2020-01-30,1621.475830078125,1633.4757458933043,1610.7705543690263,1630.9861468911884,1590156
2020-01-31,1684.711669921875,1721.806695608052,1676.1474735390334,1702.5372233560452,9495046
2020-02-03,1669.2762451171875,1673.8073642360018,1627.202019103048,1638.7537349506513,2510294
2020-02-04,1691.2344970703125,1695.7157754180744,1663.201587093489,1677.0437823024,2070417
