Date,Close,High,Low,Open,Volume
,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
2020-01-01,408.7117919921875,410.73514072761816,405.84150414632927,407.4413546070102,2321850
2020-01-02,409.3234558105469,416.5227243489004,406.54725358643805,408.42941679748634,4555670
2020-01-03,418.4048767089844,423.8631383916567,407.53536721535266,409.04110348904766,9457180
2020-01-06,414.0289001464844,418.49903816473346,409.46464821552325,414.92291051841386,4794923
2020-01-07,420.098876953125,421.604613459387,411.77029792994216,415.3934683207658,4504083
2020-01-08,414.17010498046875,420.19302274284166,413.1349092589193,416.85219384826667,3881918
2020-01-09,413.9347839355469,418.64019234968396,413.1348587612368,416.61687247551174,3934566
2020-01-10,417.4638366699219,422.5456719697494,414.07593689685905,414.1700508082423,4334013
2020-01-13,418.4048767089844,426.9216535302903,416.475642235974,420.66346675976155,4823348
2020-01-14,419.722412109375,423.01619785462793,418.21667573906717,420.66349375087583,2708589
2020-01-15,422.5926513671875,424.1454588739561,417.5108168273454,421.2281003745653,3054107
2020-01-16,422.5926513671875,429.462563797305,421.03987257994817,425.60412376388683,4416809
2020-01-17,427.8157653808594,429.3685445102496,419.72245666097825,421.7928479798556,3216737
2020-01-20,422.96917724609375,429.3214786564139,419.86359043599464,427.4393152755783,2824739
2020-01-21,421.0399169921875,425.13362784092635,419.72240844948124,421.60457171607084,2573651
2020-01-22,420.0047607421875,427.1099449699571,419.11075033864404,421.98103810088946,3412716
2020-01-23,423.34552001953125,425.55706729627616,418.7812689844468,420.85165977959696,1875787
2020-01-24,421.4163818359375,426.1688617435962,420.47530011793,423.4867731033679,2153164
2020-01-27,421.9810485839844,425.1336781726695,416.14635899850475,420.6635398852977,3530914
2020-01-28,426.21588134765625,435.25027109703655,421.6516295176509,421.8398573389116,9487290
2020-01-29,423.5808410644531,429.83902806634023,422.9691437580188,428.0509787400199,3103817
2020-01-30,416.05224609375,427.01584270242296,414.3582817174239,424.89840877166716,3486193
2020-01-31,408.7117919921875,419.1578051471654,407.15901285066525,416.52278773849343,3757229
2020-02-03,392.9486083984375,403.6298902427124,389.60778022490115,398.83036836560086,4032780
2020-02-04,400.5714111328125,401.7477632321803,388.5255771230998,392.38401775293295,4848610
2020-02-05,401.1361083984375,405.98267381758455,397.0423969148628,404.1946241809476,3826307
2020-02-06,405.2768249511719,412.19378113188077,399.0186374427339,402.9711920372916,7745520
2020-02-07,405.4179992675781,415.7228557362919,398.26580106924865,406.54730883549087,7402556
2020-02-10,395.5366516113281,407.25313099251474,393.6544880943205,403.30057611898434,3638523
2020-02-11,393.8897705078125,399.67744647417936,392.2428773803669,397.13651416116284,4683072
2020-02-12,390.1724548339844,396.47768460878564,389.6078001044193,394.1249805018749,4439987
2020-02-13,394.26617431640625,395.3484124852646,387.7256452688395,390.17246333725825,3924569
2020-02-14,393.8897705078125,399.72448907572016,391.96056433204814,395.2543505869393,2862205
2020-02-17,387.1124267578125,396.685977030665,386.0697577114259,394.5058745102052,2625157
2020-02-18,387.34942626953125,389.4347645269824,378.24981312400234,385.7854370398793,4187206
2020-02-19,382.51519775390625,392.61009632423907,379.7189820100206,389.0081515850584,5910512
2020-02-20,383.8422546386719,390.05082855278636,382.51520559201526,382.7995856420998,4000525
2020-02-24,377.11236572265625,393.0366664478642,375.16920311613376,385.31148501823577,12668574
2020-02-25,368.62884521484375,381.42516686180426,365.2164869902803,381.42516686180426,10050971
2020-02-26,355.1690368652344,366.78051420672745,353.0836987515241,365.02693837386255,12146582
2020-02-27,368.24969482421875,370.3350328521436,350.1926750271381,355.45337338245054,15164166
2020-02-28,353.46282958984375,365.50086210257405,351.75666496409013,359.86099032672416,8439591
2020-03-02,350.24005126953125,363.65248587783503,344.4106218307979,358.2969942621998,6915567
2020-03-03,373.0364685058594,375.7379200242238,353.7946034521504,354.50551022399,14474553
2020-03-04,384.31622314453125,391.37787991894163,367.15966678698913,377.25453744324955,26369149
2020-03-05,383.79486083984375,393.1788243792157,380.80905820370776,388.58165042727586,9874059
2020-03-06,380.0033874511719,382.183519061334,369.7189296413111,369.7189296413111,6500912
2020-03-09,372.84686279296875,382.8469385272433,365.4534159601504,375.4061094864749,13151861
2020-03-11,365.8326110839844,374.6478428750017,360.2401217237355,373.8421428038753,9127352
2020-03-12,336.3063049316406,353.2733040184394,328.34415440748836,346.44858703952474,11662910
2020-03-13,364.1737976074219,381.94646415658286,308.059553518791,323.22556230740844,15802632
2020-03-16,349.339599609375,375.7379452980637,343.8893139919942,356.40128558873056,14480298
2020-03-17,350.85614013671875,374.97958521744056,345.2162977920786,356.40121806485655,12903597
2020-03-18,343.8418884277344,366.2591415295168,336.59064556673417,363.4155146093701,12342300
2020-03-19,341.6143798828125,354.9320501763315,329.5289652954946,333.3678790499407,8728092
2020-03-20,346.2115783691406,359.71880627265944,343.320569230714,346.16419615777056,10630619
2020-03-23,307.58563232421875,336.2114870265264,298.62819632985423,327.01708213206615,8018903
2020-03-24,317.6805419921875,329.86075078798,312.79898781618795,312.79898781618795,6408582
2020-03-25,329.5289306640625,332.5147328747074,312.3723773460133,314.69468402477395,6174391
2020-03-26,320.66632080078125,348.8182391744684,318.5810117270554,345.9746122246765,11670467
2020-03-27,320.61895751953125,334.12618632855805,315.642610063574,328.91286994612665,7745135
2020-03-30,315.3583068847656,326.06929241966134,295.7372652178324,304.88426138550886,11648241
2020-03-31,333.9366149902344,336.4958910847263,311.14021478468,322.37254820203754,9954142
2020-04-01,325.6427001953125,336.7328579679618,320.7611459003632,334.60013754451944,6702159
2020-04-03,356.3538513183594,369.481905528918,322.27771116953875,326.0218314435793,28550430
2020-04-07,395.5959167480469,400.80923293420886,368.06011117228763,377.25451674408487,29675052
2020-04-08,413.9373474121094,425.3592385134201,391.61485636909805,397.15993523592874,27810872
2020-04-09,430.7620849609375,449.19824832313367,420.28804205533567,430.7146738240497,31862948
2020-04-13,438.25030517578125,452.9897597140872,420.00369922084377,438.8190363415686,30510226
2020-04-15,425.7857360839844,463.03723603008984,420.95156468191993,450.14612193354077,32508955
2020-04-16,439.5299072265625,443.2266161124372,425.7857116539739,426.54400052861155,16932965
2020-04-17,433.2740173339844,452.08935702712506,425.0748977640855,452.08935702712506,19774082
2020-04-20,448.7243347167969,450.24094156850686,427.06536995281164,433.51094184086156,17893064
2020-04-21,448.4873962402344,465.12263267180793,440.05130802153406,443.46366643777003,30021752
2020-04-22,449.6247863769531,457.2551732119452,444.5536462473931,450.19351750933816,13336137
2020-04-23,452.56329345703125,462.42119558163125,449.62487281387587,452.089355576744,13748820
2020-04-24,460.24102783203125,471.09421600902346,448.866519598413,452.08932007276775,23394027
2020-04-27,464.3642883300781,478.48763013057925,461.61545465242943,465.40695736004693,19310626
2020-04-28,449.2456359863281,469.57754951682955,445.78586702962883,469.19840507587895,12847910
2020-04-29,452.7528076171875,459.6723173586097,448.487367105701,451.18881854834973,10166496
2020-04-30,440.24090576171875,459.7197409465397,434.5062400906952,458.77186519201075,18471206
2020-05-04,441.188720703125,449.7669835284417,434.12703573451273,440.2408450792505,16097066
2020-05-05,432.51568603515625,447.871284503156,430.33558341678906,445.31200844953213,7850482
2020-05-06,430.7147216796875,438.866458662684,424.6483228528778,435.6436869978355,10829910
2020-05-07,428.62939453125,441.42571622511724,426.7336431691956,437.91856463456855,11216033
2020-05-08,444.5536804199219,446.8285761974645,430.3829278635072,436.0227995589852,13693803
2020-05-11,439.67218017578125,450.7623092902144,437.25507961453627,449.0087622632912,10294818
2020-05-12,439.71954345703125,444.3641287285394,431.56780642896524,440.7622125408894,9507971
2020-05-13,428.77154541015625,444.98022440782967,426.73361859866185,444.55366880517965,10010310
2020-05-14,432.1839294433594,438.81905922756437,425.4065951651395,429.3876846064106,11764703
2020-05-15,425.21697998046875,434.9800866313216,422.325942180089,432.1838710987309,7863358
2020-05-18,417.7288513183594,430.90431835461374,411.6150412080778,423.7004569257589,9067298
2020-05-19,418.67669677734375,432.2313073448215,415.73827640256417,420.66721255125157,10126393
2020-05-20,431.9943542480469,434.5536302323328,414.45865363677126,416.9705184794987,7967084
2020-05-21,442.1365966796875,444.55366795174814,429.38765795765863,431.7573470192351,8987658
2020-05-22,444.9328308105469,447.30251997009054,434.17443624084467,442.65793500275885,10194204
2020-05-26,435.21710205078125,450.71487482542034,433.1791751739582,446.4494343696593,9801056
2020-05-27,427.3971252441406,440.66738435794235,420.28805786174684,440.66738435794235,13253937
2020-05-28,435.1697082519531,437.5867795417802,421.5203049423176,430.24074339689673,12632972
2020-05-29,449.5300598144531,456.49695213569714,434.1270793780064,436.0228308163383,12662824
2020-06-01,441.1413269042969,458.4874688590885,434.4114039249035,458.2978821561148,18563612
2020-06-02,448.4399719238281,455.9281837087223,443.74797592614044,445.5015516488555,10978049
2020-06-03,451.3310241699219,456.49695848194193,448.3452213984146,450.19359064723284,7767457
2020-06-04,469.0562744140625,472.04207694672516,447.49210322824325,448.3451855337369,19100026
2020-06-05,468.4875183105469,484.3644347125735,466.54438488880714,474.8856786516621,22798341
2020-06-08,463.5111999511719,472.7529876802597,459.76707950556283,472.7529876802597,9176155
2020-06-09,474.6488037109375,485.9759310167757,466.3548905157888,466.3548905157888,25883378
2020-06-10,473.1321716308594,480.57300200346697,467.8240616813441,476.30756115728235,10636465
2020-06-11,448.9613037109375,468.0609926080309,444.64848099854754,464.4590766456088,18547382
2020-06-12,455.0751647949219,456.7813296170433,431.2834770867403,431.2834770867403,11498488
2020-06-15,460.4779357910156,463.8902935947141,448.06078908804795,455.92814467066205,10727187
2020-06-16,458.20306396484375,467.7766134086311,451.6627280429842,463.89031762330734,11247556
2020-06-17,460.3358459472656,464.22214225483464,454.12727143987416,458.9140323415847,8222223
2020-06-18,459.00885009765625,463.0373221945381,457.8240053632792,460.3358704147838,4077225
2020-06-19,462.65814208984375,466.30746937649275,459.9093083028292,461.42588630471914,8114839
2020-06-22,467.4922790527344,475.0752842024827,460.6675628472132,466.5444034090158,9203804
